[2026-03-13 04:33:30] ::1 /crud/admin/create | BOOT php=8.2.12 sapi=apache2handler
[2026-03-13 10:33:30] ::1 /crud/admin/create | DB include ok
[2026-03-13 04:34:32] ::1 /crud/admin/create.php | BOOT php=8.2.12 sapi=apache2handler
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | DB include ok
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | POST start content_length=103079 post=24 files=5
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | uploads writable OK
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | Photo upload ok: barang=Foto_evidence_Photo_Barang_Asset_ITCKT_13032026_103432_69b385c8287a0.jpg depan=foto depan/Foto_evidence_Photo_Depan_Asset_ITCKT_13032026_103432_69b385c828feb.jpg belakang=foto belakang/Foto_evidence_Photo_Belakang_Asset_ITCKT_13032026_103432_69b385c829843.jpg sn=foto sn/Foto_evidence_Photo_SN_Asset_ITCKT_13032026_103432_69b385c82b097.jpg invoice=
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | before INSERT peserta
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | INSERT failed errno=1048 error=Column 'Harga_Barang' cannot be null attempt=1
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | Retry Harga_Barang with 0 due to strict-mode error: Column 'Harga_Barang' cannot be null
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | INSERT failed errno=1048 error=Column 'Tahun_Rilis' cannot be null attempt=2
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | Retry Tahun_Rilis with 0 due to strict-mode error: Column 'Tahun_Rilis' cannot be null
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | INSERT ok id=606 attempts=3
[2026-03-13 10:34:32] ::1 /crud/admin/create.php | success branch - before activity log
[2026-03-27 17:21:24] ::1 /crud/admin/create | BOOT php=8.2.12 sapi=apache2handler
[2026-03-27 23:21:24] ::1 /crud/admin/create | DB include ok
